MonitoringLocationIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode
USGS-03470025,Vanadium,Total,,
USGS-03470025,Zinc,Recoverable,30,ug/l
USGS-03470025,Tin,Recoverable,,
USGS-03470025,Aluminum,Recoverable,,
USGS-03470025,Lithium,Recoverable,,
USGS-03470025,Titanium,Total,,
USGS-03470025,Mercury,Recoverable,,
USGS-03469122,Iron,Recoverable,,
USGS-03469122,Iron,Dissolved,,
USGS-03469122,Manganese,Recoverable,,
USGS-03469122,Manganese,Dissolved,,
USGS-03468510,Iron,Recoverable,600,ug/l
USGS-03468510,Manganese,Recoverable,50,ug/l
USGS-03470210,Barium,Recoverable,,
USGS-03470210,Beryllium,Recoverable,,
USGS-03470210,Cadmium,Total,,
USGS-03470210,Chromium,Recoverable,,
USGS-03470210,Cobalt,Recoverable,,
USGS-03470210,Copper,Recoverable,140,ug/l
USGS-03470210,Iron,Recoverable,860,ug/l
USGS-03470210,Lead,Recoverable,,
USGS-03470210,Manganese,Recoverable,60,ug/l
USGS-03470210,Molybdenum,Recoverable,,
USGS-03470210,Nickel,Recoverable,,
USGS-03470210,Silver,Recoverable,,
USGS-03470210,Vanadium,Total,,
USGS-03470210,Zinc,Recoverable,20,ug/l
USGS-03470210,Tin,Recoverable,,
USGS-03470210,Aluminum,Recoverable,900,ug/l
USGS-03470210,Lithium,Recoverable,,
USGS-03470210,Titanium,Total,,
USGS-03470210,Mercury,Recoverable,,
USGS-03468510,Barium,Recoverable,,
USGS-03468510,Beryllium,Recoverable,,
USGS-03468510,Cadmium,Total,,
USGS-03468510,Chromium,Recoverable,,
USGS-03468510,Copper,Recoverable,80,ug/l
USGS-03468510,Iron,Recoverable,800,ug/l
USGS-03468510,Lead,Recoverable,,
USGS-03468510,Manganese,Recoverable,230,ug/l
USGS-03468510,Nickel,Recoverable,,
USGS-03468510,Silver,Recoverable,,
USGS-03468510,Zinc,Recoverable,50,ug/l
USGS-03468510,Aluminum,Recoverable,1500,ug/l
USGS-03468510,Lithium,Recoverable,,
USGS-03468510,Titanium,Total,,
USGS-03468510,Mercury,Recoverable,,
USGS-03470210,Barium,Recoverable,,
USGS-03470210,Beryllium,Recoverable,,
USGS-03470210,Cadmium,Total,,
USGS-03470210,Chromium,Recoverable,,
USGS-03470210,Cobalt,Recoverable,,
USGS-03470210,Copper,Recoverable,20,ug/l
